Name,Scope,Domain,Same Site,Category,Platform,Http Only,Secure,Value,Path,Expires,Cookie Affected,GDPRPortal
obuid,Third Party,.outbrain.com,c4ff9885-6ed7-4b93-a137-4a6531b9fc36,None,Marketing,Outbrain,No,Yes,/,2024-01-31T05:13:40.835Z,Yes,https://www.outbrain.com/legal/privacy#privacy-policy
obsessionid-p235,Third Party,.outbrain.com,1e0cf074-2e94-aac3-0000-018cf7d920a7|0|1,None,Marketing,Outbrain,No,Yes,/,2024-01-31T03:04:06.635Z,Yes,https://www.outbrain.com/legal/privacy#privacy-policy
countryCode,First Party,.cnn.com,IN,None,Uncategorized,Unknown,No,Yes,/,Session,No,NA
stateCode,First Party,.cnn.com,RJ,None,Uncategorized,Unknown,No,Yes,/,Session,No,NA
geoData,First Party,.cnn.com,udaipur|RJ|313002|IN|AS|530|broadband|24.560|73.700,None,Uncategorized,Unknown,No,Yes,/,Session,No,NA
FastAB,First Party,.cnn.com,"0=5358,1=0526,2=7845,3=8666,4=1715,5=1538,6=1019,7=9842,8=8211,9=4311,10=8932,11=4832,12=0560,13=6306,14=6439,15=6827,16=2117,17=9035,18=5188,19=4612",Lax,Uncategorized,Unknown,No,No,/,2025-01-10T09:27:29.000Z,No,NA
usprivacy,First Party,.cnn.com,1---,None,Functional,ShareThis,No,Yes,/,2024-01-11T09:27:59.576Z,No,https://sharethis.com/privacy/
sato,First Party,.cnn.com,1,,Uncategorized,Unknown,No,No,/,2024-01-31T03:05:38.426Z,No,NA
optimizelyEndUserId,First Party,.cnn.com,oeu1704965249641r0.9014332779917718,,Marketing,Optimizely,No,No,/,2024-01-31T07:23:16.826Z,No,https://www.optimizely.com/privacy/
IMRID,Third Party,.imrworldwide.com,a47efa60-b063-11ee-826d-370ea577f41f,None,Marketing,Nielsen,No,Yes,/,2024-01-31T12:25:40.827Z,Yes,https://www.nielsen.com/legal/privacy-principles/
FastAB_Zion,First Party,.cnn.com,5.1,Lax,Uncategorized,Unknown,No,No,/,Session,No,NA
_dd_s,First Party,edition.cnn.com,logs=1&id=7d6eb929-3c9a-4178-a3b3-976c43624d28&created=1704965249920&expire=1704966149921,Strict,Uncategorized,Unknown,No,No,/,2024-01-31T03:04:05.727Z,No,NA
AMCV_7FF852E2556756057F000101%40AdobeOrg,First Party,.cnn.com,-1124106680%7CMCIDTS%7C19734%7CMCMID%7C14690251824500151141358777135909273394%7CMCAAMLH-1705570050%7C3%7CMCAAMB-1705570050%7C6G1ynYcLPuiQxYZrsz_pkqfLG9yMXBpb2zX5dvJdYQJzPXImdj0y%7CMCOPTOUT-1704972451s%7CNONE%7CMCAID%7CNONE%7CvVersion%7C5.2.0,,Marketing,Adobe Audience Manager,No,No,/,2024-01-31T12:40:04.829Z,No,https://www.adobe.com/nl/privacy.html
UID,Third Party,.scorecardresearch.com,1B0518b80212cf14d0c272b1704965250,None,Uncategorized,Unknown,No,Yes,/,2025-12-31T09:27:49.420Z,Yes,NA
_cb,First Party,.cnn.com,DXViNuDohNUKC_fH6M,,Uncategorized,Unknown,No,Yes,/,2024-01-31T12:32:52.828Z,No,NA
_chartbeat2,First Party,.cnn.com,.1704965250284.1704965250284.1.BI1D9tBAueT-BMVOWaCP3Z45DHtve.1,,Analytics,Chartbeat,No,Yes,/,2024-01-31T12:32:52.828Z,No,https://chartbeat.com/privacy/
_cb_svref,First Party,.cnn.com,external,,Uncategorized,Unknown,No,Yes,/,2024-01-31T03:04:06.629Z,No,NA
_sp_ses.f5fb,First Party,.cnn.com,*,None,Analytics,Snowplow,No,Yes,/,2024-01-31T03:04:06.648Z,No,https://snowplowanalytics.com/privacy-policy/
_sp_id.f5fb,First Party,.cnn.com,6cad2d4f-3105-46d7-92a6-b3e0a83d14ef.1704965250.1.1704965269.1704965250.7be43cb8-bd74-4a06-a633-6eae249f20bd,None,Analytics,Snowplow,No,Yes,/,2024-01-31T11:49:40.848Z,No,https://snowplowanalytics.com/privacy-policy/
cnprevpage_pn,First Party,.cnn.com,%2Fhomepage,,Uncategorized,Unknown,No,No,/,2024-01-31T03:04:06.629Z,No,NA
